10000, 0.01898, 0.005
20000, 0.00645, 0.02
30000, 0.00433, 0.02
40000, 0.00348, 0.02
50000, 0.00303, 0.02
60000, 0.00268, 0.02
70000, 0.00241, 0.02
80000, 0.00222, 0.02
90000, 0.00206, 0.02
100000, 0.00195, 0.02
110000, 0.00183, 0.02
120000, 0.00176, 0.02
130000, 0.00163, 0.02
140000, 0.00159, 0.02
150000, 0.00155, 0.02
160000, 0.00151, 0.02
170000, 0.00143, 0.02
180000, 0.00140, 0.02
190000, 0.00134, 0.02
200000, 0.00133, 0.02
210000, 0.00126, 0.02
220000, 0.00126, 0.02
230000, 0.00121, 0.02
240000, 0.00119, 0.02
250000, 0.00117, 0.02
260000, 0.00114, 0.02
270000, 0.00112, 0.02
280000, 0.00112, 0.02
290000, 0.00109, 0.02
300000, 0.00105, 0.02
310000, 0.00104, 0.02
320000, 0.00105, 0.02
330000, 0.00100, 0.02
340000, 0.00099, 0.02
350000, 0.00096, 0.02
360000, 0.00096, 0.02
370000, 0.00097, 0.02
380000, 0.00093, 0.02
390000, 0.00094, 0.02
400000, 0.00092, 0.02
410000, 0.00091, 0.02
420000, 0.00088, 0.02
430000, 0.00088, 0.02
440000, 0.00077, 0.002
450000, 0.00076, 0.002
460000, 0.00075, 0.002
470000, 0.00075, 0.002
480000, 0.00074, 0.002
490000, 0.00074, 0.002
500000, 0.00075, 0.002
510000, 0.00073, 0.002
520000, 0.00074, 0.002
530000, 0.00075, 0.002
540000, 0.00074, 0.002
550000, 0.00074, 0.002
560000, 0.00074, 0.002
570000, 0.00073, 0.002
580000, 0.00072, 0.002
590000, 0.00073, 0.002
600000, 0.00073, 0.002
610000, 0.00073, 0.002
620000, 0.00072, 0.002
630000, 0.00073, 0.002
640000, 0.00072, 0.002
650000, 0.00073, 0.002
660000, 0.00073, 0.002
670000, 0.00072, 0.002
680000, 0.00070, 0.002
690000, 0.00071, 0.002
700000, 0.00071, 0.002
710000, 0.00072, 0.002
720000, 0.00070, 0.002
730000, 0.00072, 0.002
740000, 0.00072, 0.001
750000, 0.00071, 0.001
760000, 0.00070, 0.001
770000, 0.00070, 0.001
780000, 0.00070, 0.001
790000, 0.00070, 0.001
800000, 0.00070, 0.001
810000, 0.00070, 0.001
